crime_head,pending_prev_year,reported_during_year,reopened_for_investigation,total_for_investigation,not_investigated_157_1_b,transferred_other_state_or_agency,withdrawn_by_govt,fr_non_cognizable,fr_false,fr_other_13,fr_other_14,fr_other_15,fr_total,chargesheet_prev_year,chargesheet_during_year,chargesheet_total,disposed_by_police,quashed_investigation,stayed_investigation,pending_end_year,chargesheeting_rate_pct,pendency_pct,year
Women,15469,19832,12,35313,0,5,0,54,2173,4303,4923,134,11587,2949,5609,8558,20150,1,29,15162,42.5,42.9,2018
Girls,6546,13522,0,20068,0,1,0,43,1150,2576,1987,16,5772,1812,5067,6879,12652,18,19,7398,54.4,36.9,2018
Procuration of Minor Girls,2526,3039,21,5586,0,4,0,4,684,369,371,36,1464,622,1003,1625,3093,0,0,2493,52.5,44.6,2018
Importation of Girls from Foreign Country,8,4,0,12,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,10,50.0,83.3,2018
Kidnapping and Abduction of Women  Others,5383,6051,0,11434,0,2,0,35,1724,1883,906,119,4667,802,1453,2255,6924,4,0,4506,32.6,39.4,2018
Human Trafficking,458,854,6,1318,0,2,0,0,19,26,38,3,86,176,443,619,707,0,0,611,87.6,46.4,2018
Selling of Minor Girls,112,40,0,152,0,0,0,0,0,5,6,0,11,11,26,37,48,0,0,104,77.1,68.4,2018
Buying of Minor Girls,22,8,0,30,0,0,0,0,0,0,1,0,1,0,2,2,3,0,0,27,66.7,90.0,2018
Rape - Total,13762,33356,21,47139,1,71,3,31,2875,767,1093,75,4841,7054,21415,28469,33382,59,51,13695,85.3,29.1,2018
Women,11210,24044,15,35269,1,65,3,29,2640,671,940,70,4350,5273,14420,19693,24109,57,38,11100,81.7,31.5,2018
Girls,2552,9312,6,11870,0,6,0,2,235,96,153,5,491,1781,6995,8776,9273,2,13,2595,94.6,21.9,2018
Attempt to Commit Rape - Total,1722,4097,2,5821,0,2,0,6,493,147,274,12,932,771,2345,3116,4050,0,9,1771,76.9,30.4,2018
Women,1596,3652,2,5250,0,2,0,6,478,142,255,12,893,727,2054,2781,3676,0,8,1574,75.7,30.0,2018
Girls,126,445,0,571,0,0,0,0,15,5,19,0,39,44,291,335,374,0,1,197,89.6,34.5,2018
Assault on Women with Intent to Outrage her Modesty - Total,32144,89097,17,121258,3,35,4,143,5257,2450,4721,99,12670,17484,57617,75101,87809,83,39,33362,85.5,27.5,2018
Women,30764,81067,14,111845,3,35,4,141,4938,2290,4418,93,11880,16814,51430,68244,80162,71,38,31608,85.1,28.3,2018
Girls,1380,8030,3,9413,0,0,0,2,319,160,303,6,790,670,6187,6857,7647,12,1,1754,89.7,18.6,2018
Insult to the Modesty of Women - Total,4788,6992,1,11781,0,5,0,7,339,237,382,4,969,1923,4185,6108,7082,3,5,4696,86.2,39.9,2018
Women,4638,6820,1,11459,0,5,0,7,336,229,370,4,946,1867,4068,5935,6886,3,5,4570,86.2,39.9,2018
Girls,150,172,0,322,0,0,0,0,3,8,12,0,23,56,117,173,196,0,0,126,88.3,39.1,2018
Total IPC Crimes against Women,153139,323345,102,476586,10,303,46,514,23801,27873,26643,1117,79948,63245,173186,236431,316692,531,326,159317,74.7,33.4,2018
Dowry Prohibition Act,6630,12826,0,19456,1,61,0,13,307,819,1216,15,2370,3067,6531,9598,12030,1,31,7425,79.8,38.2,2018
Immoral Traffic (Prevention) Act - Total,1216,1459,8,2683,0,0,0,0,5,13,31,0,49,401,878,1279,1328,0,1,1355,96.3,50.5,2018
"Procuring, inducing Children for the sake of prostitution",652,253,0,905,0,0,0,0,1,1,6,0,8,118,183,301,309,0,0,596,97.4,65.9,2018
Detaining a person in premises where prostitution is carried on,75,143,0,218,0,0,0,0,1,2,2,0,5,53,98,151,156,0,0,62,96.8,28.4,2018
Prostitution in or in the vicinity of public places,90,172,1,263,0,0,0,0,3,0,0,0,3,38,142,180,183,0,1,80,98.4,30.4,2018
Seducing or soliciting for purpose of prostitution,37,120,0,157,0,0,0,0,0,0,6,0,6,25,91,116,122,0,0,35,95.1,22.3,2018
Other Sections under ITP Act,362,771,7,1140,0,0,0,0,0,10,17,0,27,167,364,531,558,0,0,582,95.2,51.1,2018
Protection of Women from Domestic Violence Act,177,579,0,756,0,1,0,1,10,3,1,1,16,42,429,471,488,1,0,267,96.5,35.3,2018
Cyber Crimes/Information Technology Act - Total,628,1244,0,1872,0,2,0,1,32,45,220,0,298,82,371,453,753,2,0,1117,60.2,59.7,2018
Publishing or Transmitting of Sexually Explicit Material,371,862,0,1233,0,2,0,1,16,33,108,0,158,52,288,340,500,2,0,731,68.0,59.3,2018
Other Women Centric Cyber Crimes,257,382,0,639,0,0,0,0,16,12,112,0,140,30,83,113,253,0,0,386,44.7,60.4,2018
Protection of Children from Sexual Violence Act - Total,14722,38802,13,53537,2,67,1,18,560,599,778,49,2004,7899,26837,34736,36809,24,28,16703,94.4,31.2,2018
POCSO Act Section 4 & 6,7761,21401,2,29164,1,48,0,5,191,219,360,42,817,4538,15006,19544,20410,13,14,8741,95.8,30.0,2018
POCSO Act Section 8 & 10,5507,14124,10,19641,0,16,1,11,231,233,294,5,774,2845,9652,12497,13287,8,12,6345,94.1,32.3,2018
POCSO Act Section 12,689,1651,1,2341,0,2,0,2,65,42,56,1,166,313,1111,1424,1592,2,2,747,89.4,31.9,2018
POCSO Act Section 14 & 15,177,781,0,958,1,0,0,0,19,18,5,1,43,70,469,539,583,0,0,375,92.5,39.1,2018
"POCSO Act Section 17,18,19",470,804,0,1274,0,1,0,0,54,86,58,0,198,111,568,679,878,1,0,395,77.3,31.0,2018
POCSO Act r/w Section 377 IPC,118,41,0,159,0,0,0,0,0,1,5,0,6,22,31,53,59,0,0,100,89.8,62.9,2018
Indecent Representation of Women (Prohibition) Act,24,22,0,46,0,1,0,0,1,2,4,0,7,3,7,10,18,0,0,28,55.6,60.9,2018
Total SLL Crimes against Women,23397,54932,21,78350,3,132,1,33,915,1481,2250,65,4744,11494,35053,46547,51426,28,60,26895,90.5,34.3,2018
Total Crime against Women,176536,378277,123,554936,13,435,47,547,24716,29354,28893,1182,84692,74739,208239,282978,368118,559,386,186212,76.9,33.6,2018
Murder with Rape/Gang Rape,131,283,0,414,0,1,0,0,4,1,7,1,13,25,208,233,247,0,0,167,94.3,40.3,2019
Dowry Deaths,3294,7115,2,10411,0,5,0,2,174,154,336,6,672,1816,4471,6287,6964,1,0,3446,90.3,33.1,2019
Abetment to Suicide of Women,2788,5009,7,7804,0,10,0,0,201,90,126,9,426,1365,2888,4253,4689,8,3,3107,90.7,39.8,2019
Miscarriage,102,221,0,323,0,1,0,0,11,10,50,0,71,29,98,127,199,0,0,124,63.8,38.4,2019
Acid Attack,61,150,0,211,0,0,0,2,5,2,15,1,25,26,95,121,146,1,0,64,82.9,30.3,2019
Attempt to Acid Attack,27,42,0,69,0,0,0,0,0,0,3,0,3,8,26,34,37,0,0,32,91.9,46.4,2019
Cruelty by Husband or his relatives,47789,125298,25,173112,2,185,5,63,7606,6939,6926,254,21788,23841,72671,96512,118487,178,112,54442,81.5,31.4,2019
Kidnapping and Abduction of Women,49195,72780,24,121999,2,30,0,147,11942,17420,12204,417,42130,8945,19148,28093,70255,27,45,51717,40.0,42.4,2019
Kidnapping and Abduction,19075,30633,8,49716,2,18,0,102,5208,9970,3935,270,19485,2211,6224,8435,27940,4,5,21772,30.2,43.8,2019
Kidnapping and Abduction in order to Murder,140,109,0,249,0,0,0,0,8,9,30,0,47,8,31,39,86,0,0,163,45.3,65.5,2019
Kidnapping for Ransom,127,78,2,207,0,0,0,0,10,10,19,0,39,30,29,59,98,0,0,109,60.2,52.7,2019
Kidnapping and Abduction of Women to compel her for marriage,22602,32260,9,54871,0,5,0,43,4478,5695,7034,94,17344,5325,10002,15327,32676,14,40,22181,46.9,40.4,2019
Women,15527,16645,3,32175,0,4,0,42,2832,2868,5046,83,10871,3419,5023,8442,19317,7,18,12851,43.7,39.9,2019
Girls,7075,15615,6,22696,0,1,0,1,1646,2827,1988,11,6473,1906,4979,6885,13359,7,22,9330,51.5,41.1,2019
Procuration of Minor Girls,2655,3117,0,5772,0,1,0,0,634,388,326,15,1363,555,914,1469,2833,3,0,2936,51.9,50.9,2019
Importation of Girls from Foreign Country,9,3,0,12,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,11,100.0,91.7,2019
Kidnapping and Abduction of Women  Others,4587,6580,5,11172,0,6,0,2,1604,1348,860,38,3852,816,1947,2763,6621,6,0,4545,41.7,40.7,2019
Human Trafficking,608,966,6,1580,0,2,0,0,12,19,46,12,89,291,485,776,867,0,1,713,89.5,45.1,2019
Selling of Minor Girls,114,22,0,136,0,0,0,0,1,5,6,0,12,15,12,27,39,0,0,97,69.2,71.3,2019
Buying of Minor Girls,30,8,0,38,0,0,0,0,0,2,1,0,3,0,3,3,6,0,0,32,50.0,84.2,2019
Rape,13480,32033,23,45536,1,117,1,39,3652,622,1127,64,5504,6605,18243,24848,30470,104,35,14961,81.5,32.9,2019
Women,10900,27093,20,38013,1,106,1,39,3355,568,1037,62,5061,5124,15492,20616,25784,69,32,12159,80.0,32.0,2019
Girls,2580,4940,3,7523,0,11,0,0,297,54,90,2,443,1481,2751,4232,4686,35,3,2802,90.3,37.2,2019
Attempt to Commit Rape,1836,3944,1,5781,0,3,0,3,718,96,266,15,1098,833,2102,2935,4036,0,0,1745,72.7,30.2,2019
Women,1627,3608,0,5235,0,3,0,3,691,85,237,12,1028,785,1914,2699,3730,0,0,1505,72.4,28.7,2019
Girls,209,336,1,546,0,0,0,0,27,11,29,3,70,48,188,236,306,0,0,240,77.1,44.0,2019
Assault on Women with Intent to Outrage her Modesty,33804,88367,19,122190,2,48,0,173,6288,2378,4615,175,13629,19001,54333,73334,87013,89,39,35088,84.3,28.7,2019
Women,32074,84139,9,116222,2,48,0,173,5947,2235,4412,164,12931,18068,51774,69842,82823,80,39,33319,84.3,28.7,2019
Girls,1730,4228,10,5968,0,0,0,0,341,143,203,11,698,933,2559,3492,4190,9,0,1769,83.3,29.6,2019
Insult to the Modesty of Women,4472,6939,2,11413,0,5,0,8,425,178,407,0,1018,1909,3931,5840,6863,1,3,4549,85.1,39.9,2019
Women,4348,6839,2,11189,0,5,0,8,415,172,403,0,998,1874,3882,5756,6759,1,2,4429,85.2,39.6,2019
Girls,124,100,0,224,0,0,0,0,10,6,4,0,20,35,49,84,104,0,1,120,80.8,53.6,2019
Total IPC Crimes against Women,157731,343177,109,501017,7,407,6,437,31039,27916,26135,954,86481,64709,178714,243423,330318,409,238,170284,73.7,34.0,2019
Dowry Prohibition Act,7353,13297,2,20652,0,47,1,8,462,1335,1418,8,3231,2715,6968,9683,12961,268,13,7422,74.7,35.9,2019
Immoral Traffic (Prevention) Act,1352,1185,5,2542,0,3,0,0,5,14,19,0,38,315,620,935,976,0,3,1566,95.8,61.6,2019
"Procuring, inducing Children for the sake of prostitution",595,432,0,1027,0,0,0,0,3,4,10,0,17,78,166,244,261,0,0,766,93.5,74.6,2019
Detaining a person in premises where prostitution is carried on,62,155,0,217,0,1,0,0,0,0,0,0,0,25,81,106,107,0,0,110,99.1,50.7,2019
Prostitution in or in the vicinity of public places,79,153,5,237,0,0,0,0,2,1,1,0,4,28,91,119,123,0,0,114,96.7,48.1,2019
Seducing or soliciting for purpose of prostitution,35,62,0,97,0,0,0,0,0,0,1,0,1,26,50,76,77,0,0,20,98.7,20.6,2019
Other Sections under ITP Act,581,383,0,964,0,2,0,0,0,9,7,0,16,158,232,390,408,0,3,556,95.6,57.7,2019
Protection of Women from Domestic Violence Act,259,553,0,812,0,0,0,0,9,15,2,0,26,71,436,507,533,0,0,279,95.1,34.4,2019
Cyber Crimes/Information Technology Act,1100,1621,1,2722,0,0,0,0,28,35,273,1,337,151,567,718,1055,1,0,1666,68.1,61.2,2019
Publishing or Transmitting of Sexually Explicit Material,713,1158,0,1871,0,0,0,0,17,22,143,1,183,111,459,570,753,0,0,1118,75.7,59.8,2019
Other Women Centric Cyber Crimes,387,463,1,851,0,0,0,0,11,13,130,0,154,40,108,148,302,1,0,548,49.0,64.4,2019
Protection of Children from Sexual Offences Act,17275,46005,78,63358,1,92,0,19,953,609,1273,46,2900,9402,32160,41562,44555,31,61,18772,93.3,29.6,2019
POCSO Act Section 4 & 6,8975,25934,66,34975,1,72,0,8,275,188,602,20,1093,5299,18585,23884,25050,12,55,9913,95.3,28.3,2019
POCSO Act Section 8 & 10,6622,16139,12,22773,0,13,0,11,439,254,534,22,1260,3510,11274,14784,16057,15,2,6701,92.1,29.4,2019
POCSO Act Section 12,739,1866,0,2605,0,5,0,0,63,48,44,4,159,319,1102,1421,1585,2,2,1018,89.7,39.1,2019
POCSO Act Section 14 & 15,378,1079,0,1457,0,2,0,0,55,31,4,0,90,145,575,720,812,0,1,645,88.7,44.3,2019
"POCSO Act Section 17,18,19",461,951,0,1412,0,0,0,0,121,87,87,0,295,128,601,729,1024,2,1,386,71.2,27.3,2019
POCSO Act  r/w Section 377 IPC,100,36,0,136,0,0,0,0,0,1,2,0,3,1,23,24,27,0,0,109,88.9,80.1,2019
Indecent Representation of Women (Prohibition) Act,29,23,0,52,0,0,0,0,1,1,3,0,5,5,13,18,23,0,2,29,78.3,55.8,2019
Total SLL Crimes against Women,27368,62684,86,90138,1,142,1,27,1458,2009,2988,55,6537,12659,40764,53423,60103,300,79,29734,88.9,33.0,2019
Total Crime against Women,185099,405861,195,591155,8,549,7,464,32497,29925,29123,1009,93018,77368,219478,296846,390421,709,317,200018,76.0,33.8,2019
Murder with Rape/Gang Rape,160,219,0,379,0,1,0,0,0,5,12,1,18,39,136,175,194,0,0,185,90.2,48.8,2020
Dowry Deaths,3452,6966,3,10421,0,7,0,10,218,170,250,6,654,1720,4389,6109,6770,0,0,3651,90.2,35.0,2020
Abetment to Suicide of Women,3120,5040,14,8174,1,7,1,1,164,91,123,22,401,1331,2858,4189,4598,6,3,3569,91.1,43.7,2020
Miscarriage,130,239,1,370,0,0,0,0,7,7,100,0,114,19,85,104,218,0,1,152,47.7,41.1,2020
Acid Attack,58,105,0,163,0,0,0,0,6,1,7,1,15,23,68,91,106,0,0,57,85.8,35.0,2020
Attempt to Acid Attack,31,33,0,64,0,0,0,0,1,0,4,0,5,7,17,24,29,1,0,34,82.8,53.1,2020
Cruelty by Husband or his relatives,55499,111549,19,167067,1,143,3,122,5520,4832,5489,188,16151,29367,66786,96153,112448,174,99,54442,85.5,32.6,2020
Kidnapping and Abduction of Women,51843,62300,21,114164,0,28,8,162,9247,18878,9377,233,37897,7938,15872,23810,61735,43,35,52378,38.6,45.9,2020
Kidnapping and Abduction,21777,28787,3,50567,0,22,6,23,4406,12671,3479,161,20740,2543,5739,8282,29044,31,5,21486,28.5,42.5,2020
Kidnapping and Abduction in order to Murder,162,78,0,240,0,0,0,0,4,15,43,0,62,33,29,62,124,0,0,116,50.0,48.3,2020
Kidnapping for Ransom,109,58,0,167,0,0,0,0,3,12,12,0,27,28,28,56,83,1,0,83,67.5,49.7,2020
Kidnapping and Abduction of Women to compel her for marriage,22039,24745,11,46795,0,3,1,139,3109,4301,5006,48,12603,4167,7701,11868,24474,7,29,22313,48.5,47.7,2020
Women,12777,13641,4,26422,0,2,0,137,1777,2206,3021,43,7184,2068,3878,5946,13132,4,13,13286,45.3,50.3,2020
Girls,9262,11104,7,20373,0,1,1,2,1332,2095,1985,5,5419,2099,3823,5922,11342,3,16,9027,52.2,44.3,2020
Procuration of Minor Girls,2881,2471,1,5353,0,1,0,0,627,277,327,9,1240,478,703,1181,2422,0,0,2931,48.8,54.8,2020
Importation of Girls from Foreign Country,11,1,0,12,0,0,0,0,0,4,0,0,4,4,0,4,8,0,0,4,50.0,33.3,2020
Kidnapping and Abduction of Women  Others,4864,6160,6,11030,0,2,1,0,1098,1598,510,15,3221,685,1672,2357,5580,4,1,5445,42.2,49.4,2020
Human Trafficking,724,646,2,1372,0,3,0,0,9,31,23,7,70,325,315,640,713,0,0,659,89.8,48.0,2020
Selling of Minor Girls,75,12,0,87,0,0,0,0,1,1,0,0,2,8,5,13,15,0,0,72,86.7,82.8,2020
Buying of Minor Girls,25,1,0,26,0,0,0,0,0,2,0,0,2,6,1,7,9,0,0,17,77.8,65.4,2020
Rape,15097,28046,53,43196,0,100,2,48,3375,571,987,34,5015,7161,16532,23693,28808,38,34,14348,82.2,33.2,2020
Women,12296,25406,53,37755,0,95,2,48,3050,510,935,32,4575,5658,14821,20479,25149,37,34,12567,81.4,33.3,2020
Girls,2801,2640,0,5441,0,5,0,0,325,61,52,2,440,1503,1711,3214,3659,1,0,1781,87.8,32.7,2020
Attempt to Commit Rape,1796,3741,1,5538,0,3,0,6,631,90,212,6,945,816,1980,2796,3744,0,2,1794,74.7,32.4,2020
Women,1556,3446,0,5002,0,3,0,6,595,87,192,3,883,732,1802,2534,3420,0,1,1582,74.1,31.6,2020
Girls,240,295,1,536,0,0,0,0,36,3,20,3,62,84,178,262,324,0,1,212,80.9,39.6,2020
Assault on Women with Intent to Outrage her Modesty,35294,85392,14,120700,0,38,1,253,5821,2317,3848,187,12426,20026,53584,73610,86074,38,39,34587,85.5,28.7,2020
Women,33523,81282,9,114814,0,38,1,251,5502,2249,3678,162,11842,19061,51003,70064,81944,36,38,32833,85.5,28.6,2020
Girls,1771,4110,5,5886,0,0,0,2,319,68,170,25,584,965,2581,3546,4130,2,1,1754,85.9,29.8,2020
Insult to the Modesty of Women,4489,7065,9,11563,0,1,0,5,314,134,306,18,777,1815,3784,5599,6377,1,5,5185,87.8,44.8,2020
Women,4369,6933,9,11311,0,1,0,5,306,119,299,18,747,1781,3703,5484,6232,1,5,5078,88.0,44.9,2020
Girls,120,132,0,252,0,0,0,0,8,15,7,0,30,34,81,115,145,0,0,107,79.3,42.5,2020
Total IPC Crimes against Women,171793,311354,137,483284,2,331,15,607,25314,27130,20738,703,74492,70601,166412,237013,311838,301,218,171130,76.0,35.4,2020
Dowry Prohibition Act,7484,10366,4,17854,0,61,0,29,297,436,703,1,1466,3093,5511,8604,10131,4,16,7719,84.9,43.2,2020
Immoral Traffic (Prevention) Act,1595,868,1,2464,0,1,0,0,12,4,11,0,27,429,442,871,899,0,0,1565,96.9,63.5,2020
